서울, 28 , 35 , 69 , 17 
부산, 69 , 66 , 240 , 41 
대구, 37 , 62 , 91 , 23 
인천, 28 , 29 , 48 , 6 
광주, 17 , 29 , 68 , 4 
대전, 17 , 21 , 66 , 1 
울산, 71 , 68 , 110 , 53 
경기, 26 , 34 , 94 , 6 
강원, 22 , 25 , 52 , 5 
충북, 22 , 28 , 60 , 11 
충남, 21 , 28 , 57 , 8 
전북, 20 , 26 , 58 , 6 
전남, 18 , 37 , 85 , 2 
경북, 48 , 47 , 121 , 10 
경남, 24 , 50 , 84 , 10 
제주, 41 , 38 , 52 , 26 
세종, 14 , 23 , 52 , 8 
